policy_number,incident_date,incident_type,collision_type,incident_severity,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
886811,3/19/19 14:16,Parked Car,?,Trivial Damage,6408,639,1269,4452,Y
866471,4/15/24 10:23,Parked Car,?,Minor Damage,3133,559,279,2242,N
606323,8/17/16 22:56,Multi-vehicle Collision,Side Collision,Total Loss,24312,2210,4294,17853,
700102,5/13/16 19:34,Multi-vehicle Collision,Rear Collision,Major Damage,35962,7160,3605,24878,
481539,8/3/17 17:29,Multi-vehicle Collision,Side Collision,Total Loss,90072,15265,15204,59798,N
415014,9/4/18 11:34,Single Vehicle Collision,Side Collision,Total Loss,40018,5760,5842,28708,N
699799,12/30/23 11:51,Multi-vehicle Collision,Rear Collision,Major Damage,36076,7161,3613,24962,Y
484598,4/24/23 17:42,Multi-vehicle Collision,Side Collision,Total Loss,90838,15092,15067,60631,N
405974,8/11/20 22:48,Multi-vehicle Collision,Side Collision,Major Damage,49241,5105,5096,40941,Y
480998,3/23/18 0:33,Multi-vehicle Collision,Side Collision,Minor Damage,62892,11477,5682,44916,N
695518,7/29/20 17:07,Single Vehicle Collision,Rear Collision,Major Damage,85856,15371,7891,62374,Y
629157,11/20/21 16:10,Parked Car,?,Trivial Damage,5997,662,667,4729,N
678167,6/18/17 9:36,Multi-vehicle Collision,Front Collision,Total Loss,67444,10401,10360,46995,N
447494,4/10/19 4:36,Single Vehicle Collision,Front Collision,Major Damage,55222,6070,6166,42543,Y
723498,5/9/22 7:31,Single Vehicle Collision,Rear Collision,Total Loss,42873,6987,7107,27800,N
204808,3/24/21 23:23,Single Vehicle Collision,Side Collision,Total Loss,81720,7415,14883,60316,N
119280,4/4/21 18:33,Multi-vehicle Collision,Front Collision,Major Damage,73628,14546,14428,43406,N
936223,10/4/19 11:51,Multi-vehicle Collision,Front Collision,Major Damage,61995,6323,6290,49888,Y
780299,3/31/16 6:34,Multi-vehicle Collision,Front Collision,Minor Damage,58668,5289,10323,42314,
423023,8/9/18 8:34,Multi-vehicle Collision,Rear Collision,Total Loss,63017,10651,10412,43033,N
537566,8/28/18 12:22,Multi-vehicle Collision,Side Collision,Minor Damage,60462,9337,9070,41221,N
785268,4/12/18 22:09,Single Vehicle Collision,Rear Collision,Total Loss,51868,5624,5741,40329,N
655438,10/8/22 21:12,Vehicle Theft,?,Trivial Damage,4894,443,896,3607,N
282862,11/12/19 12:11,Single Vehicle Collision,Front Collision,Minor Damage,51691,5675,5742,39500,Y
739393,9/19/23 10:22,Multi-vehicle Collision,Rear Collision,Total Loss,30409,3047,6098,21533,N
139650,4/7/17 15:26,Parked Car,?,Trivial Damage,5961,654,651,4584,N
107976,4/24/18 18:24,Multi-vehicle Collision,Front Collision,Minor Damage,58974,10536,5269,41720,N
895593,6/14/17 5:17,Multi-vehicle Collision,Side Collision,Minor Damage,42532,8460,4205,29355,N
546882,10/30/16 10:54,Parked Car,?,Trivial Damage,4282,775,391,3136,
867935,9/8/20 2:53,Parked Car,?,Minor Damage,9071,1635,821,6580,N
393717,4/11/22 10:42,Single Vehicle Collision,Rear Collision,Minor Damage,81273,15059,7437,59887,Y
976740,9/7/16 20:32,Vehicle Theft,?,Trivial Damage,7204,1442,717,5040,
904805,12/25/23 6:27,Parked Car,?,Trivial Damage,6477,642,1295,4441,Y
885814,12/15/20 16:47,Single Vehicle Collision,Rear Collision,Major Damage,48234,9728,4825,34326,N
799269,2/20/21 22:16,Single Vehicle Collision,Rear Collision,Total Loss,51299,5764,5762,40056,N
901619,8/13/16 10:15,Single Vehicle Collision,Front Collision,Minor Damage,53282,6008,5897,41545,
594141,12/8/21 10:32,Single Vehicle Collision,Side Collision,Total Loss,44527,9005,4486,31838,N
220723,9/4/16 8:56,Single Vehicle Collision,Side Collision,Major Damage,112501,17427,17266,76878,
499845,11/28/20 23:30,Multi-vehicle Collision,Side Collision,Major Damage,67354,7558,14716,44710,N
863079,8/5/22 18:58,Parked Car,?,Minor Damage,9023,1636,822,6537,N
979539,7/19/19 20:39,Vehicle Theft,?,Trivial Damage,7114,1463,720,5064,N
173381,1/21/24 2:10,Multi-vehicle Collision,Side Collision,Total Loss,76329,8406,8344,57668,N
560801,4/9/19 11:52,Single Vehicle Collision,Front Collision,Minor Damage,87130,8667,8706,70082,N
106321,3/21/20 10:28,Multi-vehicle Collision,Front Collision,Minor Damage,57916,10552,5312,41769,N
487860,10/9/22 5:34,Multi-vehicle Collision,Front Collision,Total Loss,52974,5944,5930,41168,N
723023,10/4/18 10:32,Multi-vehicle Collision,Side Collision,Minor Damage,51923,5897,11530,34893,N
442791,5/13/17 12:31,Single Vehicle Collision,Front Collision,Major Damage,55219,6137,6202,43486,Y
577944,4/30/22 6:09,Single Vehicle Collision,Rear Collision,Total Loss,76673,15186,7580,53001,N
617068,2/18/24 7:20,Vehicle Theft,?,Trivial Damage,4962,906,453,3610,N
656948,11/28/19 21:06,Vehicle Theft,?,Trivial Damage,4991,456,895,3560,N
557864,8/6/18 22:03,Single Vehicle Collision,Rear Collision,Total Loss,54864,9770,10047,34709,N
410785,10/1/17 22:42,Multi-vehicle Collision,Side Collision,Major Damage,50631,5100,5040,40309,Y
286335,7/30/21 11:10,Multi-vehicle Collision,Front Collision,Major Damage,73598,7608,14901,51923,N
857076,6/28/20 8:43,Vehicle Theft,?,Trivial Damage,4529,420,839,3334,N
113194,2/10/17 21:50,Multi-vehicle Collision,Rear Collision,Minor Damage,57098,11348,5726,39942,N
761540,2/12/20 2:52,Single Vehicle Collision,Side Collision,Total Loss,72730,11877,11984,48305,N
957658,8/22/17 4:34,Vehicle Theft,?,Trivial Damage,7163,1439,721,5038,N
116946,3/2/23 10:37,Multi-vehicle Collision,Front Collision,Major Damage,72260,14632,14473,43642,N
933523,7/28/23 20:00,Multi-vehicle Collision,Front Collision,Major Damage,62572,6311,6233,51301,Y
637783,11/4/22 0:12,Parked Car,?,Trivial Damage,6046,673,666,4657,N
407443,4/6/20 19:23,Single Vehicle Collision,Side Collision,Total Loss,53901,0,6800,46992,N
595011,6/11/20 7:05,Multi-vehicle Collision,Side Collision,Total Loss,24187,2209,4405,17472,N
250479,3/7/16 14:05,Multi-vehicle Collision,Rear Collision,Minor Damage,74718,12365,12339,49458,
481839,12/11/18 8:44,Parked Car,?,Trivial Damage,3920,670,660,2643,N
153822,12/5/20 22:42,Parked Car,?,Trivial Damage,5798,1061,1051,3701,N
970296,1/4/20 19:16,Parked Car,?,Minor Damage,6642,658,665,5395,N
153499,1/5/18 9:21,Multi-vehicle Collision,Side Collision,Total Loss,68649,13407,6801,47501,N
286274,11/13/22 9:56,Vehicle Theft,?,Trivial Damage,4686,530,0,4161,N
894373,2/16/24 13:32,Multi-vehicle Collision,Side Collision,Minor Damage,42202,8468,4186,29516,N
349132,10/9/23 6:53,Multi-vehicle Collision,Front Collision,Major Damage,51203,10267,5060,36128,Y
417478,5/17/23 0:45,Multi-vehicle Collision,Rear Collision,Total Loss,63313,10761,10446,41603,N
820303,6/13/17 4:12,Multi-vehicle Collision,Side Collision,Total Loss,50816,9959,5077,35068,N
523346,11/3/18 17:51,Multi-vehicle Collision,Side Collision,Minor Damage,59585,5448,10925,44211,N
339405,11/6/16 10:06,Single Vehicle Collision,Front Collision,Minor Damage,83821,17008,8337,58600,
208008,12/27/16 6:40,Parked Car,?,Trivial Damage,4403,0,961,3332,N
868040,10/12/18 10:49,Parked Car,?,Minor Damage,9102,1623,834,6626,N
280605,6/27/23 3:14,Multi-vehicle Collision,Front Collision,Major Damage,74605,7527,14888,51210,N
287176,10/20/20 23:10,Single Vehicle Collision,Rear Collision,Total Loss,53606,6663,6633,40311,Y
335879,7/11/23 18:21,Single Vehicle Collision,Front Collision,Minor Damage,84299,16502,8406,58400,Y
362450,1/8/24 21:34,Single Vehicle Collision,Side Collision,Total Loss,48683,8919,9158,31560,N
943340,1/13/17 8:19,Single Vehicle Collision,Side Collision,Minor Damage,62671,6405,12469,44933,N
457742,2/12/20 19:35,Vehicle Theft,?,Minor Damage,5062,1029,508,3572,N
554615,5/31/22 6:11,Single Vehicle Collision,Rear Collision,Total Loss,54557,9861,10009,34361,N
434000,1/3/22 13:32,Multi-vehicle Collision,Side Collision,Total Loss,37421,0,4786,33093,N
289216,5/24/19 18:41,Parked Car,?,Minor Damage,5466,986,984,3405,N
752870,8/25/19 2:05,Multi-vehicle Collision,Front Collision,Total Loss,73300,12218,12465,49718,N
556067,9/27/18 19:42,Single Vehicle Collision,Side Collision,Minor Damage,109345,16594,16577,74403,N
330946,8/5/18 20:58,Single Vehicle Collision,Rear Collision,Minor Damage,34601,3501,6967,24094,N
739927,10/31/17 4:56,Single Vehicle Collision,Front Collision,Major Damage,88415,15905,8000,64292,Y
282643,12/16/20 17:51,Vehicle Theft,?,Trivial Damage,4722,527,0,4185,N
700607,11/6/16 18:28,Multi-vehicle Collision,Side Collision,Minor Damage,52052,5800,11668,34788,
432239,4/26/18 20:33,Single Vehicle Collision,Front Collision,Major Damage,54171,6100,6176,42955,Y
250384,9/21/18 21:34,Single Vehicle Collision,Rear Collision,Minor Damage,54178,11061,5353,38100,N
643108,5/29/22 4:02,Single Vehicle Collision,Rear Collision,Total Loss,46711,4375,8440,34259,N
643630,7/1/20 11:58,Single Vehicle Collision,Rear Collision,Total Loss,47619,4230,8580,34411,N
823809,3/4/23 4:25,Multi-vehicle Collision,Side Collision,Total Loss,50667,9830,5003,34946,N
717561,1/16/23 3:49,Multi-vehicle Collision,Rear Collision,Major Damage,36103,7132,3558,25114,Y
897409,11/27/23 18:00,Single Vehicle Collision,Side Collision,Major Damage,72941,6616,6501,59463,Y
388787,3/25/23 18:45,Single Vehicle Collision,Rear Collision,Minor Damage,82480,14960,7489,59898,Y
217904,8/12/18 3:27,Multi-vehicle Collision,Side Collision,Minor Damage,53545,11917,6069,35761,Y
592400,3/20/17 21:05,Vehicle Theft,?,Trivial Damage,5904,657,662,4615,N
241131,11/6/21 17:46,Single Vehicle Collision,Rear Collision,Minor Damage,78805,14291,7258,58186,N
180932,8/25/23 16:48,Single Vehicle Collision,Rear Collision,Minor Damage,76784,15446,7697,53626,Y
175155,6/4/16 9:53,Multi-vehicle Collision,Side Collision,Total Loss,74986,8256,8396,59005,
906620,5/28/18 13:19,Multi-vehicle Collision,Side Collision,Minor Damage,41521,8548,4217,29905,N
677625,2/12/23 16:15,Multi-vehicle Collision,Side Collision,Total Loss,60063,6057,6032,48320,N
566505,6/16/21 22:09,Single Vehicle Collision,Rear Collision,Total Loss,53495,9888,10022,35131,N
902714,3/25/17 9:45,Single Vehicle Collision,Side Collision,Major Damage,72765,6690,6704,60047,Y
540778,5/25/22 8:04,Single Vehicle Collision,Side Collision,Major Damage,75233,6131,12164,55417,N
392205,5/17/17 0:07,Vehicle Theft,?,Trivial Damage,4173,843,422,2961,N
437383,2/3/18 7:14,Multi-vehicle Collision,Side Collision,Major Damage,74602,17333,11572,47373,Y
467279,7/24/19 17:41,Parked Car,?,Minor Damage,4215,426,843,2934,N
488273,4/7/24 1:44,Multi-vehicle Collision,Side Collision,Total Loss,88896,15171,15123,61201,N
951865,5/27/22 1:52,Multi-vehicle Collision,Front Collision,Total Loss,77392,7195,14147,57064,N
725948,6/24/24 10:45,Multi-vehicle Collision,Side Collision,Minor Damage,52990,5885,11681,34417,N
128680,1/30/24 20:15,Single Vehicle Collision,Rear Collision,Major Damage,42610,7689,7570,27258,N
204511,5/14/18 23:17,Single Vehicle Collision,Side Collision,Total Loss,81539,7403,15029,60781,N
730269,7/31/19 16:53,Multi-vehicle Collision,Side Collision,Major Damage,70087,12690,12823,45558,N
690675,3/25/16 16:48,Parked Car,?,Minor Damage,6510,543,1083,4835,
556350,10/31/16 3:37,Single Vehicle Collision,Side Collision,Minor Damage,107975,16766,16497,74005,
653859,6/3/21 8:07,Single Vehicle Collision,Side Collision,Total Loss,47001,4699,9632,33353,N
206951,7/9/21 21:55,Multi-vehicle Collision,Front Collision,Total Loss,26759,4861,4845,17079,N
696399,11/11/22 16:08,Single Vehicle Collision,Front Collision,Total Loss,60737,6619,6660,46687,N
506046,7/7/24 16:26,Multi-vehicle Collision,Rear Collision,Major Damage,76266,7165,13881,56096,N
975701,1/28/17 16:09,Multi-vehicle Collision,Rear Collision,Major Damage,69372,12811,6291,50283,N
205254,6/23/22 5:57,Multi-vehicle Collision,Front Collision,Total Loss,26722,4788,4797,17066,N
434625,6/9/21 14:36,Multi-vehicle Collision,Front Collision,Total Loss,35726,3255,6456,25977,Y
663685,11/11/20 5:08,Vehicle Theft,?,Trivial Damage,4985,441,893,3586,N
900287,6/30/16 21:15,Multi-vehicle Collision,Side Collision,Minor Damage,43365,8513,4231,29334,
571919,5/29/16 11:46,Single Vehicle Collision,Front Collision,Minor Damage,87903,8688,8753,69840,
191067,2/13/21 23:04,Multi-vehicle Collision,Front Collision,Total Loss,59820,5034,15200,40104,N
449814,6/26/20 6:34,Multi-vehicle Collision,Front Collision,Total Loss,35828,3254,6564,26030,Y
354306,5/19/21 17:00,Multi-vehicle Collision,Side Collision,Total Loss,89470,15003,15092,60721,N
349864,11/11/21 14:49,Multi-vehicle Collision,Front Collision,Major Damage,51658,10084,5070,35788,Y
549191,7/21/22 11:07,Parked Car,?,Trivial Damage,4249,779,385,3131,N
152342,8/12/20 15:31,Multi-vehicle Collision,Rear Collision,Major Damage,42718,3812,7803,31496,Y
147199,6/6/16 20:24,Single Vehicle Collision,Rear Collision,Major Damage,64668,6531,6418,51650,
599788,2/18/19 16:23,Single Vehicle Collision,Front Collision,Minor Damage,62862,5354,10555,48132,N
743046,3/25/24 4:25,Single Vehicle Collision,Front Collision,Total Loss,92973,8237,16777,66722,Y
923792,4/5/18 6:14,Parked Car,?,Trivial Damage,6367,641,1292,4490,Y
494315,3/25/18 11:04,Multi-vehicle Collision,Rear Collision,Total Loss,70224,6438,6244,57000,N
260818,6/17/18 1:29,Single Vehicle Collision,Front Collision,Total Loss,62067,6754,6757,47947,Y
548017,9/27/18 2:58,Parked Car,?,Trivial Damage,4313,769,392,3122,N
480835,7/31/17 5:53,Single Vehicle Collision,Front Collision,Major Damage,58537,5918,5989,47632,Y
289770,11/8/22 12:53,Parked Car,?,Trivial Damage,3883,637,323,2875,N
476537,10/4/22 16:53,Parked Car,?,Trivial Damage,3919,660,658,2628,N
167134,6/5/19 14:55,Multi-vehicle Collision,Rear Collision,Total Loss,45543,5091,5054,35574,N
292979,8/2/19 2:19,Vehicle Theft,?,Trivial Damage,4595,509,511,3607,N
647184,2/13/17 0:00,Parked Car,?,Trivial Damage,5978,664,663,4686,N
353469,3/17/16 16:31,Single Vehicle Collision,Front Collision,Major Damage,55343,6788,6772,40813,
182310,11/1/19 8:39,Single Vehicle Collision,Rear Collision,Minor Damage,76637,15319,7578,54356,Y
358489,1/26/19 16:38,Single Vehicle Collision,Front Collision,Major Damage,53965,6783,6735,39622,N
598234,5/16/24 2:04,Multi-vehicle Collision,Side Collision,Major Damage,70957,7198,7234,57316,N
621915,1/30/18 2:54,Multi-vehicle Collision,Rear Collision,Total Loss,39502,0,0,39824,N
525382,5/27/22 18:35,Single Vehicle Collision,Side Collision,Major Damage,94124,8568,17002,68432,N
482276,11/7/20 0:49,Parked Car,?,Trivial Damage,4002,671,666,2639,N
470286,11/30/19 6:32,Single Vehicle Collision,Front Collision,Major Damage,85431,15855,7738,61040,N
155941,7/10/22 7:36,Multi-vehicle Collision,Rear Collision,Major Damage,42757,3862,7736,30879,Y
673677,5/15/19 0:36,Multi-vehicle Collision,Front Collision,Total Loss,62375,10299,10302,41489,N
146425,5/4/18 12:29,Single Vehicle Collision,Rear Collision,Major Damage,63934,6435,6346,51157,N
742419,5/16/22 6:43,Single Vehicle Collision,Rear Collision,Minor Damage,78670,7047,14326,57120,N
636426,9/7/16 3:49,Single Vehicle Collision,Rear Collision,Total Loss,46892,4361,8440,34700,
574984,4/19/16 10:22,Single Vehicle Collision,Side Collision,Minor Damage,61098,5691,11204,44716,
747038,4/12/24 7:09,Multi-vehicle Collision,Side Collision,Total Loss,43361,3879,3862,35174,N
142813,12/10/23 23:41,Parked Car,?,Trivial Damage,5935,671,666,4588,N
675977,4/3/20 16:09,Multi-vehicle Collision,Side Collision,Total Loss,61342,6020,6026,48682,N
498216,10/23/21 19:22,Vehicle Theft,?,Minor Damage,3034,562,567,1933,N
745751,4/8/21 22:52,Multi-vehicle Collision,Front Collision,Minor Damage,70189,13628,6968,48444,N
211248,7/26/20 13:53,Multi-vehicle Collision,Front Collision,Total Loss,26728,4899,4924,17177,N
839117,7/16/19 0:41,Vehicle Theft,?,Trivial Damage,4633,422,846,3376,N
191237,10/4/23 1:29,Single Vehicle Collision,Rear Collision,Total Loss,45259,10057,10048,25784,N
488223,12/24/18 6:04,Single Vehicle Collision,Front Collision,Minor Damage,52776,5335,5464,42301,Y
616698,5/13/19 15:09,Vehicle Theft,?,Trivial Damage,4907,908,446,3629,N
108018,5/28/16 2:19,Multi-vehicle Collision,Front Collision,Minor Damage,58488,10587,5262,41835,
603879,1/25/18 14:14,Single Vehicle Collision,Side Collision,Total Loss,87871,8147,16206,64859,N
393978,11/24/18 23:49,Multi-vehicle Collision,Rear Collision,Total Loss,82422,14860,14760,51743,N
174710,5/18/17 17:55,Multi-vehicle Collision,Side Collision,Total Loss,74895,8356,8382,58045,N
513488,9/5/18 21:01,Multi-vehicle Collision,Front Collision,Major Damage,52047,11570,5853,35121,N
355275,6/18/16 16:39,Multi-vehicle Collision,Side Collision,Total Loss,57973,5810,5780,46563,
130950,2/16/23 12:13,Single Vehicle Collision,Rear Collision,Major Damage,41511,7492,7622,26804,N
250992,8/1/21 21:41,Single Vehicle Collision,Rear Collision,Minor Damage,54693,10849,5428,37859,N
251489,12/30/19 22:13,Multi-vehicle Collision,Rear Collision,Minor Damage,74068,12173,12366,49428,N
465121,12/23/22 19:42,Vehicle Theft,?,Minor Damage,5094,1025,509,3616,N
881636,4/23/21 5:38,Multi-vehicle Collision,Side Collision,Major Damage,54781,12100,6008,34912,Y
533474,9/13/23 12:14,Single Vehicle Collision,Rear Collision,Major Damage,46493,5205,5195,36967,N
671415,3/25/22 0:42,Multi-vehicle Collision,Front Collision,Total Loss,62166,10218,10200,41324,N
807638,11/18/19 18:39,Single Vehicle Collision,Side Collision,Major Damage,52040,10480,5145,36057,N
605026,11/18/21 22:22,Single Vehicle Collision,Side Collision,Total Loss,89084,8112,16084,66116,N
891431,1/27/22 14:23,Parked Car,?,Trivial Damage,6457,640,1282,4414,Y
872097,7/2/24 11:02,Parked Car,?,Minor Damage,9024,1632,824,6552,N
181480,1/8/16 0:31,Single Vehicle Collision,Rear Collision,Minor Damage,76338,15824,7622,54234,
685085,3/8/23 8:44,Multi-vehicle Collision,Front Collision,Total Loss,61620,10222,10227,41303,N
369587,3/3/23 11:42,Single Vehicle Collision,Front Collision,Total Loss,72635,13513,13595,47049,N
520648,11/25/21 13:13,Multi-vehicle Collision,Front Collision,Major Damage,68102,11351,5701,51766,Y
291298,4/17/16 8:12,Multi-vehicle Collision,Rear Collision,Total Loss,51478,8539,8597,34514,
439892,3/8/16 15:09,Multi-vehicle Collision,Side Collision,Major Damage,75959,17481,11472,45836,
261301,9/3/17 9:10,Single Vehicle Collision,Rear Collision,Total Loss,85305,15501,15543,53836,N
847651,6/11/21 16:45,Vehicle Theft,?,Trivial Damage,4681,410,837,3321,N
519324,12/12/20 5:11,Multi-vehicle Collision,Front Collision,Major Damage,67899,11175,5672,51175,Y
493406,2/2/16 19:09,Vehicle Theft,?,Minor Damage,3050,558,565,1983,
342679,8/14/21 2:17,Single Vehicle Collision,Front Collision,Minor Damage,84206,16684,8358,58873,Y
565264,7/27/18 11:15,Single Vehicle Collision,Front Collision,Total Loss,56766,5211,10467,41006,N
159180,2/18/17 13:45,Parked Car,?,Trivial Damage,5573,928,944,3742,N
459446,9/20/21 8:48,Multi-vehicle Collision,Side Collision,Total Loss,85470,15216,7844,61963,N
486129,7/18/18 1:32,Multi-vehicle Collision,Side Collision,Total Loss,88647,15192,15070,60152,N
743954,2/26/16 20:00,Parked Car,?,Trivial Damage,5369,889,904,3596,
238685,11/23/20 9:44,Single Vehicle Collision,Rear Collision,Minor Damage,81308,14451,7162,57782,N
288780,6/28/21 18:24,Vehicle Theft,?,Trivial Damage,4523,506,509,3589,N
234050,5/2/20 5:40,Single Vehicle Collision,Side Collision,Major Damage,62809,5286,10672,47117,Y
854278,7/20/23 3:00,Parked Car,?,Minor Damage,9100,1614,819,6600,N
173689,2/6/23 18:08,Multi-vehicle Collision,Side Collision,Total Loss,75273,8320,8482,59036,N
705687,2/18/21 11:45,Multi-vehicle Collision,Rear Collision,Major Damage,35820,7196,3648,25119,Y
178284,3/12/21 2:04,Multi-vehicle Collision,Side Collision,Total Loss,75307,8338,8407,59135,N
908624,8/19/17 9:41,Multi-vehicle Collision,Front Collision,Total Loss,78230,6923,14353,56171,N
634084,1/1/18 5:02,Vehicle Theft,?,Trivial Damage,4954,450,907,3616,N
205735,8/13/19 5:51,Multi-vehicle Collision,Front Collision,Total Loss,26953,4855,4784,17379,N
999172,9/23/20 2:22,Single Vehicle Collision,Rear Collision,Major Damage,33144,3704,3668,25822,N
670581,5/24/17 16:03,Multi-vehicle Collision,Side Collision,Total Loss,60502,5930,5969,48337,N
711213,2/1/22 19:47,Multi-vehicle Collision,Rear Collision,Major Damage,35788,7146,3557,24846,Y
202275,2/19/23 15:28,Single Vehicle Collision,Side Collision,Total Loss,82727,7536,15031,60315,N
647105,3/1/16 15:57,Parked Car,?,Trivial Damage,5956,658,670,4729,
474861,2/4/16 21:19,Multi-vehicle Collision,Front Collision,Total Loss,53044,5914,5750,41714,
367951,4/5/21 19:38,Single Vehicle Collision,Front Collision,Total Loss,74903,13546,13547,47209,N
127812,5/11/18 20:02,Single Vehicle Collision,Rear Collision,Major Damage,42764,7893,7539,26922,N
648302,4/24/24 20:06,Single Vehicle Collision,Rear Collision,Total Loss,47739,4328,8454,34481,N
653701,12/26/21 4:54,Multi-vehicle Collision,Front Collision,Minor Damage,77150,7812,15498,53140,N
437270,10/27/17 0:37,Parked Car,?,Minor Damage,4835,490,502,3923,N
999283,1/18/20 17:40,Vehicle Theft,?,Minor Damage,8057,1464,730,5870,N
551457,9/11/19 3:44,Single Vehicle Collision,Side Collision,Minor Damage,108782,16765,16849,75657,N
581567,7/6/18 22:00,Single Vehicle Collision,Rear Collision,Total Loss,77420,15411,7810,52813,N
202612,7/17/22 15:09,Single Vehicle Collision,Front Collision,Total Loss,62518,6978,6927,48480,N
647075,12/15/18 13:04,Vehicle Theft,?,Trivial Damage,4905,449,916,3569,N
736682,5/17/18 18:10,Multi-vehicle Collision,Side Collision,Major Damage,54409,9836,9839,33927,Y
595235,5/25/21 15:07,Multi-vehicle Collision,Side Collision,Total Loss,23956,2185,4394,17441,N
248107,4/2/22 0:59,Multi-vehicle Collision,Rear Collision,Minor Damage,38442,4812,4844,29412,N
107125,2/16/22 2:32,Multi-vehicle Collision,Front Collision,Minor Damage,58539,10407,5399,42385,N
490303,7/4/22 1:07,Multi-vehicle Collision,Front Collision,Minor Damage,63232,12882,6426,44614,N
613210,8/24/20 3:24,Single Vehicle Collision,Side Collision,Minor Damage,71004,11561,11920,47058,N
204706,8/29/18 21:49,Multi-vehicle Collision,Front Collision,Total Loss,26904,4859,4813,17204,N
486330,6/3/22 9:26,Multi-vehicle Collision,Side Collision,Minor Damage,51604,10176,10078,30309,N
225108,5/21/17 21:10,Single Vehicle Collision,Front Collision,Minor Damage,43495,8648,4304,30194,N
186373,4/3/22 2:04,Single Vehicle Collision,Side Collision,Minor Damage,58882,6398,6487,45623,N
814803,3/24/17 8:41,Multi-vehicle Collision,Front Collision,Minor Damage,69051,11285,11272,45507,N
115775,10/21/22 10:10,Single Vehicle Collision,Rear Collision,Total Loss,80061,8700,8795,62084,N
735275,6/18/20 14:38,Single Vehicle Collision,Rear Collision,Minor Damage,76333,7119,14321,56857,N
154551,6/5/24 23:40,Multi-vehicle Collision,Rear Collision,Major Damage,42106,3836,7638,31242,Y
619822,2/21/18 9:57,Single Vehicle Collision,Rear Collision,Minor Damage,65049,7173,7220,50251,N
547890,10/13/17 18:56,Parked Car,?,Trivial Damage,4312,781,392,3118,N
962765,1/24/23 12:27,Parked Car,?,Trivial Damage,6491,828,828,4862,N
722450,7/14/20 0:55,Multi-vehicle Collision,Side Collision,Major Damage,69572,13153,12813,44895,N
101296,4/30/20 3:31,Multi-vehicle Collision,Front Collision,Minor Damage,73472,7449,7390,58844,N
238278,10/21/22 1:48,Single Vehicle Collision,Rear Collision,Minor Damage,80720,14416,7166,58741,N
532431,9/14/17 4:20,Multi-vehicle Collision,Side Collision,Minor Damage,59656,9364,9068,41929,N
919829,7/30/20 9:51,Vehicle Theft,?,Trivial Damage,7050,1311,645,5276,N
275747,10/9/20 2:56,Single Vehicle Collision,Side Collision,Total Loss,34547,3491,7050,24690,N
285012,1/3/20 9:49,Vehicle Theft,?,Trivial Damage,4641,523,0,4132,N
819672,4/6/21 12:21,Multi-vehicle Collision,Side Collision,Total Loss,50592,10076,4987,34938,N
412083,8/18/19 19:36,Single Vehicle Collision,Side Collision,Total Loss,40563,5704,5745,28764,N
900475,1/19/19 0:42,Single Vehicle Collision,Rear Collision,Major Damage,48265,9488,4859,33590,N
431815,7/18/23 0:50,Parked Car,?,Minor Damage,4995,484,499,3902,N
438729,12/31/19 23:18,Multi-vehicle Collision,Side Collision,Major Damage,74772,17118,11576,47613,Y
240226,11/18/22 23:41,Multi-vehicle Collision,Side Collision,Minor Damage,61813,11421,5595,46086,N
543459,6/25/18 18:29,Parked Car,?,Minor Damage,5182,966,467,3756,N
514400,10/9/16 4:56,Multi-vehicle Collision,Front Collision,Major Damage,52915,11392,5830,35142,
964756,7/2/20 4:41,Vehicle Theft,?,Trivial Damage,7128,1419,714,4978,N
287628,7/31/19 0:10,Multi-vehicle Collision,Rear Collision,Major Damage,72116,17944,5906,47716,Y
946350,11/2/16 22:30,Single Vehicle Collision,Front Collision,Minor Damage,85193,17253,8855,60513,
794766,2/4/22 6:18,Single Vehicle Collision,Rear Collision,Total Loss,51313,5600,5697,39418,N
298863,4/14/19 17:16,Vehicle Theft,?,Trivial Damage,3931,760,388,2706,N
735408,5/1/19 2:12,Multi-vehicle Collision,Side Collision,Major Damage,53771,9666,9657,33799,Y
763369,4/28/22 12:21,Single Vehicle Collision,Front Collision,Total Loss,93067,8332,16570,67383,Y
289167,11/24/18 7:06,Single Vehicle Collision,Rear Collision,Total Loss,53841,6797,6644,40652,Y
794400,1/1/24 22:22,Single Vehicle Collision,Rear Collision,Total Loss,50932,5693,5696,39654,N
336891,6/24/24 2:23,Single Vehicle Collision,Front Collision,Minor Damage,83020,17190,8507,58827,Y
512878,10/16/22 4:46,Multi-vehicle Collision,Rear Collision,Major Damage,61531,13609,6887,39781,Y
967952,1/7/24 20:30,Parked Car,?,Trivial Damage,6648,828,828,4916,N
885915,5/11/19 21:21,Multi-vehicle Collision,Side Collision,Minor Damage,41331,8516,4231,29537,N
488972,1/31/16 8:38,Parked Car,?,Trivial Damage,3976,662,665,2665,
448643,6/22/23 14:33,Single Vehicle Collision,Front Collision,Major Damage,74591,6833,13498,54164,Y
164636,4/15/22 15:02,Multi-vehicle Collision,Rear Collision,Total Loss,46129,5111,5126,34357,N
749302,10/30/22 19:53,Multi-vehicle Collision,Side Collision,Total Loss,51456,5739,5689,40416,N
117947,6/11/17 10:24,Multi-vehicle Collision,Front Collision,Major Damage,73650,14630,14611,43779,N
566901,5/4/23 3:26,Single Vehicle Collision,Front Collision,Total Loss,56934,5173,10319,41693,N
