months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit
9,30,256137,11/10/23 21:04,IL,100/300,992,1063.026198,0
261,45,977544,12/27/00 21:43,IL,100/300,507,1040.179235,6000575
80,27,142225,2/16/21 13:33,OH,500/1000,495,781.4286132,0
283,46,495943,5/15/17 12:36,OH,100/300,1988,1525.061586,0
50,44,523663,2/4/16 0:27,OH,250/500,2021,1161.937724,0
85,28,602936,8/24/96 18:51,IN,100/300,1988,1582.858531,0
112,30,488910,1/17/22 22:39,OH,250/500,995,1196.448629,0
273,40,256399,1/21/00 5:18,OH,250/500,2021,1197.467421,0
112,27,535529,9/15/22 18:17,OH,250/500,494,1432.297074,4980158
137,31,485520,1/27/03 4:24,OH,250/500,2005,1337.223772,0
274,41,939083,6/13/04 6:04,OH,500/1000,1001,1390.428431,0
399,57,513752,10/16/06 2:14,IN,100/300,1012,1375.894443,0
163,37,810483,7/5/22 21:28,IN,250/500,505,1173.397274,5996753
385,53,507633,7/30/05 13:02,IL,100/300,495,1265.173143,0
218,41,430940,12/7/11 17:22,IL,500/1000,2017,872.3796259,0
195,41,217002,10/19/16 11:43,OH,250/500,501,867.7521995,0
77,31,956413,6/26/94 5:57,OH,500/1000,498,1515.379226,5043779
76,31,982914,3/13/15 4:54,OH,500/1000,505,1493.411332,5010524
101,28,811456,12/22/98 13:59,OH,250/500,504,1073.986556,0
269,44,188399,12/18/01 10:59,OH,100/300,506,1298.007285,3961436
102,28,817208,11/17/05 5:38,OH,250/500,499,1075.569446,0
282,42,524682,11/28/09 21:07,OH,100/300,496,1336.616928,-990603
99,32,223058,5/16/19 19:18,IL,250/500,500,902.3545397,0
204,40,540080,8/25/03 17:47,IL,100/300,503,1250.622053,0
295,49,784430,9/4/95 5:35,OH,250/500,512,872.9341396,0
109,33,324877,5/16/13 11:43,IN,250/500,1004,1180.625197,0
7,21,204090,8/9/96 15:44,IN,500/1000,996,1346.670704,0
77,31,990193,11/2/04 17:25,OH,500/1000,498,1475.913526,5025394
158,32,451690,6/6/03 1:09,IL,250/500,508,1457.748652,0
297,45,235998,3/18/17 12:38,IL,100/300,980,1133.051132,0
105,31,165642,4/20/23 14:58,IL,500/1000,1984,1316.337521,0
314,44,208805,7/12/20 4:20,IL,250/500,993,980.4662382,6059055
422,52,453718,5/31/16 6:37,IL,500/1000,1993,735.1447819,6005889
297,49,742874,6/17/11 23:46,OH,250/500,1005,1145.797021,0
123,32,774353,2/5/24 21:00,IL,250/500,1002,1159.92146,0
1,33,162784,10/9/16 9:39,IL,250/500,490,907.6908486,0
4,40,506622,11/28/95 23:15,IL,100/300,992,1338.001779,5957724
106,32,297093,10/14/22 18:16,OH,100/300,500,1184.206437,3965649
96,28,193956,5/11/11 3:59,OH,100/300,1003,834.5438266,0
119,28,436609,9/13/97 8:06,IL,250/500,986,1262.946559,0
129,31,150843,1/22/22 23:42,IL,500/1000,2005,940.6207363,0
216,40,456086,8/18/93 19:46,IL,100/300,494,916.0925515,0
233,42,656256,11/7/11 11:08,IL,250/500,2019,981.2388141,0
206,38,117054,7/22/97 9:12,OH,250/500,503,1200.180373,0
211,40,487433,4/19/12 8:55,IL,500/1000,1002,1527.480397,0
271,45,593980,7/14/23 2:23,IN,500/1000,498,1343.837668,0
22,21,556792,3/31/08 3:52,IN,250/500,1019,1259.765571,0
123,29,382815,6/6/21 6:09,IN,250/500,508,1198.918693,0
295,41,337083,6/20/18 11:13,OH,100/300,2015,1446.739112,0
96,30,333598,7/31/99 5:27,IL,250/500,1991,1389.978258,0
190,33,458093,7/5/13 22:06,IL,250/500,994,1314.558701,0
81,27,141820,9/4/17 17:43,OH,500/1000,495,791.8865434,0
462,62,774995,7/18/08 20:29,OH,100/300,1980,1396.354067,0
94,30,331958,12/7/09 16:56,IL,250/500,2009,1388.657386,0
161,38,815850,8/10/15 5:49,IN,250/500,494,1188.061123,6088375
472,58,805117,10/3/15 11:00,IN,500/1000,2044,975.5784997,0
156,37,370921,10/16/20 0:05,OH,500/1000,1003,1096.008722,5959193
233,41,742088,4/16/17 12:37,IN,100/300,1003,1456.794647,0
122,29,383616,8/15/07 22:51,IN,250/500,506,1214.045856,0
33,33,758620,10/12/95 1:23,IL,500/1000,1004,1096.732222,6069683
329,48,437972,6/3/06 4:26,IL,500/1000,2030,1022.826645,0
165,33,768435,8/21/18 5:57,OH,100/300,986,1413.4818,0
273,47,598460,4/4/04 21:46,OH,500/1000,991,1184.289277,0
202,40,937455,5/27/04 20:41,IL,100/300,990,1435.462756,0
368,55,572893,9/20/93 14:32,OH,250/500,1985,1604.917768,0
242,39,591629,12/13/04 1:44,IL,100/300,503,1343.487164,0
7,21,204836,7/6/03 7:24,IN,500/1000,996,1367.460268,0
96,28,190843,12/31/00 16:30,OH,100/300,1018,818.6238778,0
375,54,504676,5/21/19 20:20,IL,100/300,492,1250.987711,0
144,35,937470,8/5/13 4:21,IL,100/300,503,1419.467614,0
224,38,598871,10/13/09 5:30,OH,250/500,498,1379.639398,0
235,43,885816,3/31/09 19:13,OH,250/500,997,946.2305437,0
122,29,588693,1/14/17 11:39,OH,500/1000,511,1302.843708,0
85,25,158581,6/16/18 16:26,IN,250/500,496,1294.46646,0
130,32,549048,4/17/95 6:45,OH,100/300,1979,769.5969325,0
293,44,215610,6/26/10 4:14,OH,100/300,1005,1322.163246,0
130,33,435825,10/10/96 10:28,IL,100/300,1992,1092.112747,0
35,36,926763,1/1/02 7:51,IL,100/300,2016,1124.139266,0
245,44,899401,1/18/99 1:26,IL,250/500,993,1662.882181,0
144,29,253835,1/17/00 10:32,IN,100/300,489,1406.693739,5094377
426,61,470805,8/10/21 19:40,IN,100/300,997,1544.555446,0
173,36,155856,6/9/03 19:56,OH,500/1000,501,1191.910594,0
239,39,735341,12/24/20 8:22,IN,250/500,2002,617.1312434,0
344,47,289029,4/26/22 6:55,OH,100/300,502,1690.015573,0
174,34,859837,7/15/18 16:25,IN,500/1000,1005,1114.675585,7913416
95,31,432707,3/22/06 1:21,IN,500/1000,1944,1367.037881,0
9,30,261881,7/3/13 9:35,IL,100/300,993,1056.331213,0
160,37,106461,4/8/23 0:23,IL,500/1000,1009,879.2747345,0
279,43,523905,8/11/13 11:39,OH,100/300,982,1522.463444,6001665
80,28,984172,2/8/21 23:59,IL,500/1000,998,1752.08977,0
122,31,628145,9/30/11 15:20,IL,500/1000,1003,1049.768205,6049086
37,28,983267,5/20/13 6:30,OH,250/500,1006,1019.865217,0
233,43,965021,8/4/17 5:13,OH,250/500,509,1247.968157,0
37,23,448001,12/18/04 2:47,IL,500/1000,494,1469.053297,0
104,27,556700,12/23/12 18:06,IL,500/1000,502,995.5129415,5977193
123,31,755358,6/9/15 11:05,IN,250/500,492,1299.922983,0
292,41,133595,6/19/94 22:39,OH,250/500,1965,1651.613487,4889083
176,33,866797,5/16/94 21:38,IN,500/1000,1006,1135.661313,8109089
65,29,477588,4/10/00 21:56,IL,250/500,1016,1741.797079,0
95,27,627221,11/8/21 8:06,IL,100/300,988,1637.037278,0
172,34,867626,8/20/11 0:46,IN,500/1000,989,1128.715465,8069652
436,60,910989,10/7/13 5:20,IN,250/500,498,1387.746289,0
197,41,248548,1/3/16 11:58,IL,250/500,1999,1780.253891,0
422,60,474528,12/29/93 5:03,IN,100/300,1001,1562.354168,0
429,60,944157,11/1/18 2:46,IN,100/300,999,1180.252355,6911163
223,40,724466,5/27/20 18:59,IN,100/300,499,1216.011003,0
37,23,455348,4/27/15 14:15,IL,500/1000,502,1468.661959,0
127,35,628601,2/8/15 10:09,IN,100/300,2034,1091.140581,0
384,57,966754,2/29/00 7:22,OH,500/1000,499,1506.417352,0
101,26,562440,5/3/23 5:34,IL,500/1000,503,989.0617501,5882313
58,23,527082,4/17/10 19:57,OH,500/1000,2011,1454.434703,4997545
245,40,588625,8/5/94 14:16,IL,100/300,486,1336.134845,0
196,41,249078,8/26/05 0:29,IL,250/500,2010,1773.441907,0
209,38,117300,1/3/01 5:01,OH,250/500,511,1197.097888,0
64,30,158832,2/4/00 2:10,IL,250/500,2008,1677.780538,0
292,45,805828,8/24/03 11:31,IL,500/1000,1023,1373.14955,0
413,58,541839,7/13/99 13:49,IN,100/300,997,1180.403334,6064762
201,40,927255,12/14/00 0:52,IL,100/300,987,1442.618617,0
400,53,782728,3/17/00 23:00,IL,100/300,1996,1399.88507,0
376,54,577561,5/3/21 5:08,OH,250/500,1983,1583.634524,0
93,32,428068,4/26/99 9:42,IN,500/1000,1984,1358.143041,0
201,40,949215,7/2/97 5:02,IL,100/300,1000,1449.40305,0
184,36,620331,4/7/09 2:31,IN,500/1000,2006,1421.500599,0
0,32,754607,3/20/11 11:19,OH,500/1000,988,1392.756902,0
88,31,857765,6/14/11 4:59,IN,500/1000,994,1050.859673,0
140,30,934323,6/26/05 12:01,IN,250/500,1975,1633.12685,0
30,36,361696,9/3/05 20:18,IN,500/1000,504,1485.886233,0
156,32,449765,7/10/96 9:30,IL,250/500,502,1466.658868,0
210,36,736239,10/29/14 7:06,IN,100/300,2003,1227.938426,0
331,47,998094,10/13/20 11:34,IL,100/300,1926,1078.675729,0
176,32,919517,4/28/99 22:13,OH,500/1000,2007,1247.479374,0
233,44,969405,5/1/00 2:06,OH,250/500,494,1235.220752,0
34,36,927253,9/18/22 6:48,IL,100/300,1991,1120.177315,0
228,39,599700,5/1/06 9:40,OH,250/500,500,1397.700517,0
114,30,491440,11/19/97 3:53,OH,250/500,993,1192.086357,0
372,54,935534,6/14/06 12:46,OH,250/500,1985,1455.946719,0
96,28,192139,6/14/04 12:19,OH,100/300,1020,828.0033911,0
175,39,885193,5/19/13 0:14,IN,500/1000,492,1359.40095,5006919
132,33,433976,9/6/03 2:07,IL,100/300,2005,1096.668855,0
466,62,528731,9/13/07 22:49,IL,500/1000,2006,1355.174417,4974859
306,46,840611,12/15/18 5:51,IN,100/300,995,720.9439702,0
95,30,148399,10/26/22 2:36,IN,250/500,2019,1025.766857,0
247,44,301984,1/13/17 5:23,IL,500/1000,1005,1158.860782,0
128,34,909367,10/31/08 12:03,OH,250/500,497,1397.99712,3011234
35,35,930380,4/6/19 10:59,IL,100/300,2015,1113.283221,0
236,42,515346,2/22/07 22:59,IN,250/500,501,1088.717723,0
401,56,483297,9/6/21 7:07,IN,250/500,1001,1356.409152,4030816
226,43,984270,7/15/05 9:55,OH,250/500,496,1718.368961,0
283,47,169651,6/9/17 17:47,OH,250/500,1010,1179.458208,0
200,39,641409,6/2/03 6:23,OH,250/500,1005,1688.497298,6996652
173,34,877476,9/23/04 9:07,IN,500/1000,991,1128.727086,7926334
107,31,166976,6/29/09 7:40,IL,500/1000,1993,1316.707557,0
227,37,342202,10/22/95 3:28,IL,250/500,1971,1233.052368,0
175,36,795360,3/23/08 14:19,OH,250/500,1005,1258.880888,0
438,62,257851,6/25/02 13:58,IL,100/300,992,1232.399887,0
164,37,824463,9/13/08 14:10,IN,250/500,496,1183.029509,5965733
182,32,921228,1/13/20 21:11,OH,500/1000,2009,1249.573624,0
244,40,591377,7/1/01 5:55,IL,100/300,496,1342.478445,0
31,33,232525,9/7/19 6:41,IL,100/300,2000,1275.051721,3914714
179,33,113759,5/19/18 22:43,IN,500/1000,1990,1008.601794,0
126,32,352373,3/16/08 0:45,OH,500/1000,997,1127.670361,2011474
11,40,738122,7/1/19 4:39,OH,500/1000,1972,1208.017371,0
293,45,808716,11/26/20 14:39,IL,500/1000,990,1359.34927,0
165,33,756372,5/18/01 2:49,OH,100/300,999,1412.299775,0
234,42,974943,11/17/96 6:16,OH,250/500,497,1269.040851,0
243,43,806439,7/20/07 11:23,IN,250/500,1000,1257.226262,5977249
93,30,326433,5/21/13 12:45,IL,250/500,2007,1368.200344,0
233,42,513816,7/2/17 10:28,IN,250/500,496,1063.429296,0
109,34,319050,9/23/23 23:12,IN,250/500,1015,1168.989472,0
167,36,289688,8/20/06 8:32,IL,100/300,1010,944.168956,0
7,21,201957,12/18/06 3:13,IN,500/1000,997,1340.750428,0
232,43,653653,6/29/01 23:39,IL,250/500,2004,963.0797076,0
373,53,741763,6/19/16 4:31,IL,250/500,1016,1243.312678,7001437
287,47,169725,9/22/96 18:50,OH,250/500,1037,1154.77227,0
248,43,304354,8/1/13 9:34,IL,500/1000,989,1181.295231,0
249,39,871476,8/20/94 17:23,IN,250/500,1003,1104.730247,0
194,34,899721,12/12/16 16:54,IN,100/300,1015,1435.305683,0
33,33,753837,9/6/02 17:02,IL,500/1000,988,1093.891555,5953002
406,54,592976,5/26/98 0:35,OH,250/500,1979,1280.011025,0
248,41,598960,10/4/18 9:03,IL,100/300,495,1320.980104,0
111,33,321528,10/28/16 7:32,IN,250/500,1001,1193.905142,0
236,38,501948,2/9/14 1:03,IL,100/300,500,1382.496587,0
127,32,552469,6/16/19 1:32,OH,100/300,1990,767.1540743,0
116,28,336403,8/7/22 16:14,OH,250/500,491,1277.673261,0
95,30,323158,9/29/23 0:14,IL,250/500,1978,1361.664644,0
123,29,377253,7/11/14 14:30,IN,250/500,501,1223.439333,0
380,55,959791,12/20/13 14:40,OH,500/1000,504,1465.866542,0
30,36,359543,1/12/16 7:47,IN,500/1000,497,1449.883336,0
269,44,187755,6/1/05 6:49,OH,100/300,496,1271.672421,4028623
32,38,727935,3/31/96 12:43,IL,250/500,2010,564.433959,5024358
79,28,998281,6/29/93 9:23,IL,500/1000,1016,1719.173455,0
235,40,508799,7/23/17 20:53,IL,100/300,505,1375.96819,0
106,31,165121,11/6/19 19:09,IL,500/1000,2040,1316.898136,0
218,41,429707,1/11/05 1:43,IL,500/1000,2012,882.3174461,0
273,41,955112,5/9/11 21:43,OH,500/1000,1009,1402.88928,0
1,33,160797,9/5/23 1:18,IL,250/500,504,901.321667,0
95,30,407727,11/19/22 1:32,OH,100/300,494,1374.868077,5969217
329,48,905239,8/21/94 23:38,IN,500/1000,1012,1677.353449,0
168,35,287884,7/16/13 0:11,IL,100/300,1015,949.648033,0
129,32,556856,3/12/02 22:24,OH,100/300,1999,773.2221706,0
61,23,430547,3/15/15 17:25,IL,100/300,491,1113.88428,0
375,54,401644,3/3/15 2:49,IN,250/500,498,1591.208971,0
133,32,204287,2/10/09 15:05,OH,100/300,1002,997.420023,0
293,46,814856,8/14/94 10:05,OH,500/1000,996,984.3798258,0
285,43,172305,11/16/16 5:26,OH,100/300,1982,1516.447015,0
109,32,325861,4/11/20 3:22,IN,250/500,1004,1190.88611,0
396,53,787620,10/4/96 3:10,IL,100/300,2012,1387.525548,0
221,41,259015,8/20/95 2:28,OH,100/300,2002,1056.591215,0
335,49,350086,6/4/20 8:32,IN,500/1000,997,1283.643387,0
133,32,204107,12/2/22 22:24,OH,100/300,1001,990.8728065,0
129,35,155357,1/12/08 23:46,OH,100/300,497,976.2107203,0
109,28,235845,9/28/04 10:09,IN,500/1000,1000,1355.533483,0
125,31,746494,8/18/01 3:47,IN,250/500,499,1314.559016,0
168,36,184552,2/22/02 0:30,IL,100/300,993,935.8684001,0
63,30,159046,8/22/96 6:20,IL,250/500,2005,1666.100247,0
156,34,838736,4/23/09 11:54,OH,100/300,988,1040.695802,0
144,35,939028,3/28/03 16:52,IL,100/300,496,1432.328934,0
144,37,792129,5/23/10 3:13,OH,250/500,2040,1412.404536,0
209,36,729945,12/3/07 15:27,IN,100/300,2016,1208.802474,0
116,30,488800,10/14/04 19:32,OH,250/500,999,1188.73296,0
79,27,190955,10/30/02 22:12,IL,100/300,1005,1472.481939,0
105,31,167138,8/3/02 16:01,IL,500/1000,2006,1312.604723,0
156,31,473647,7/10/23 7:36,IL,100/300,2024,1149.350827,0
161,38,191359,9/22/08 9:59,IL,100/300,1987,1128.013395,0
451,56,298034,5/17/09 10:50,OH,250/500,1997,1413.996103,0
101,28,813717,9/8/19 12:56,OH,250/500,501,1081.385662,0
419,53,457976,8/9/02 23:19,IL,500/1000,1984,738.2007028,6009696
201,41,662687,3/14/20 9:39,OH,250/500,987,919.0522619,0
436,56,665294,7/13/04 12:18,IN,250/500,499,1273.712556,3906972
378,53,839810,7/12/23 20:07,IL,100/300,493,1672.224134,0
15,34,395171,5/12/23 1:23,IL,100/300,992,1830.600823,0
463,63,542859,5/6/97 11:21,IL,500/1000,2037,1374.720293,5053996
156,32,450592,3/27/17 8:28,IL,250/500,504,1457.764247,0
371,56,972307,7/14/15 18:22,OH,100/300,1022,1554.237411,0
276,45,591699,9/9/15 12:03,IN,250/500,985,1354.507921,0
146,35,948705,5/2/96 1:13,IL,100/300,496,1415.98225,0
187,35,619112,11/28/98 15:03,IN,500/1000,2027,1412.143399,0
363,53,735015,1/5/13 8:42,IL,250/500,995,1241.443145,7000384
305,46,482754,10/29/06 23:05,IL,500/1000,1010,1379.603419,0
153,37,242861,9/18/21 21:43,IL,250/500,1009,2011.73589,0
154,37,370613,1/30/00 1:07,OH,500/1000,1006,1057.472585,6132422
137,34,297415,3/20/06 19:06,IL,250/500,499,1359.764396,4913215
91,26,100122,5/27/02 13:59,IL,250/500,1002,1010.720082,0
391,54,605823,12/12/94 4:46,OH,250/500,1983,1295.900234,0
103,32,223201,1/6/09 7:49,IL,250/500,503,919.731613,0
271,41,802633,9/3/03 13:36,IN,100/300,503,1464.253198,0
55,35,454143,6/17/97 1:55,IN,100/300,499,1270.672795,0
111,27,614341,2/21/98 17:22,OH,100/300,502,960.1274746,0
300,42,335864,8/29/04 3:55,OH,100/300,1975,1427.173355,0
121,32,744976,12/8/99 2:13,IL,250/500,997,1213.129133,0
133,34,459367,5/2/20 13:47,IN,500/1000,500,1080.516336,0
245,45,879665,8/6/95 5:37,IL,250/500,984,1680.52714,0
294,41,131281,3/6/15 21:36,OH,250/500,1964,1658.392885,5009850
80,27,142055,3/23/14 21:53,OH,500/1000,503,790.5622355,0
123,29,599112,8/2/13 15:49,OH,500/1000,501,1276.449233,0
293,42,134242,10/27/04 10:08,OH,250/500,2011,1641.764749,5074674
336,49,842907,8/15/06 7:30,IN,500/1000,1980,1580.184324,0
7,21,205147,11/12/13 18:52,IN,500/1000,1002,1354.601799,0
137,31,484469,6/5/13 15:52,OH,250/500,2002,1335.137934,0
195,35,279974,3/18/04 6:08,IL,500/1000,506,1419.659129,0
158,36,104702,2/7/99 5:36,IL,500/1000,1009,880.4369249,0
235,42,509294,9/11/03 3:10,IN,250/500,502,1070.26176,0
452,61,344470,7/20/01 3:49,IN,500/1000,1017,1042.225649,0
284,45,212623,7/22/93 2:03,IL,500/1000,995,1575.918088,0
230,41,731498,6/26/03 5:19,IN,100/300,993,1454.424902,0
283,48,951677,1/17/95 18:18,OH,500/1000,983,1494.668548,0
124,28,666613,11/7/22 17:12,OH,250/500,1003,1236.951462,0
102,28,822304,7/10/95 18:09,OH,250/500,502,1060.603434,0
202,40,948869,1/15/17 17:55,OH,250/500,1981,1746.694,0
409,55,115610,8/23/03 5:16,IN,100/300,2039,1297.881589,0
11,40,747562,8/4/12 13:00,OH,500/1000,1998,1208.301834,0
123,31,615664,2/7/22 2:49,IL,500/1000,998,1053.383255,5893360
309,47,437793,4/16/19 13:03,OH,100/300,994,837.7796634,0
335,53,507292,5/9/02 22:21,OH,100/300,500,1207.643115,0
96,30,400832,6/7/19 5:43,OH,100/300,507,1398.01023,6105001
362,54,648287,1/28/08 2:53,OH,100/300,1004,1098.074331,0
27,28,743418,10/13/16 4:25,IN,100/300,2014,1377.018733,0
176,35,799022,2/17/15 5:58,OH,250/500,995,1295.198554,0
180,33,112896,6/24/11 7:04,IN,500/1000,1975,990.6141742,0
35,36,943453,7/20/98 12:01,IL,100/300,1976,1098.464009,0
221,42,261282,4/1/23 17:05,OH,100/300,2030,1060.925993,0
230,43,486946,12/16/97 21:35,IN,500/1000,2047,1102.046716,0
385,55,968939,4/29/24 2:09,OH,500/1000,496,1439.154136,0
419,53,380493,4/15/12 14:08,IN,500/1000,500,1339.895763,0
340,47,299086,12/17/11 19:27,OH,100/300,500,1722.189398,0
80,27,143824,4/28/07 6:14,OH,500/1000,502,796.2083814,0
366,54,391034,11/27/97 23:42,IN,250/500,497,1619.454788,0
406,55,116942,5/9/24 4:13,IN,100/300,2037,1263.45355,0
169,36,284629,12/27/16 20:01,IL,100/300,1001,928.5187043,0
227,43,486599,5/30/01 17:25,IN,500/1000,2002,1093.254141,0
102,32,222940,12/2/15 23:28,IL,250/500,506,893.780079,0
285,48,168897,3/6/00 14:40,OH,250/500,991,1181.649681,0
378,54,502212,1/11/09 8:51,IL,100/300,507,1252.868189,0
313,47,711051,4/14/21 7:14,OH,100/300,1009,1003.038223,6016349
121,28,427203,4/1/94 12:17,IL,250/500,1014,1286.507431,0
59,23,521628,6/26/96 12:39,OH,500/1000,2003,1453.74337,4935673
30,36,366124,3/23/02 0:29,IN,500/1000,490,1490.864456,0
403,54,596016,2/9/19 23:33,OH,250/500,1973,1297.788169,0
139,34,417583,8/6/19 18:11,IN,250/500,1022,1346.566626,0
232,43,515776,1/18/14 14:38,IN,250/500,500,1075.353677,0
437,54,664606,12/26/07 8:08,IN,250/500,495,1272.819667,4046960
282,46,493214,7/23/19 21:19,IL,500/1000,2008,1318.026434,0
339,53,487007,4/4/09 14:00,OH,100/300,501,1199.628886,0
177,39,891105,2/13/96 21:06,IN,500/1000,501,1354.332882,5024195
188,39,801752,9/2/02 22:15,OH,250/500,1992,847.3546083,0
232,43,487645,7/5/94 1:46,IN,500/1000,2007,1088.00479,0
261,45,967263,2/1/94 6:04,IL,100/300,508,1041.463952,6000242
169,36,285009,4/11/96 21:03,IL,100/300,1010,953.5238586,0
202,40,534895,5/11/24 16:44,IL,100/300,504,1233.167103,0
432,60,919532,7/4/96 2:12,IN,250/500,504,1390.237109,0
151,34,908629,7/8/13 10:38,IL,250/500,501,976.5808708,0
445,57,296069,3/8/23 18:08,OH,250/500,2001,1446.871147,0
69,26,591894,6/7/08 5:54,IL,100/300,2013,921.7347374,0
211,37,114012,6/17/04 0:51,OH,250/500,494,1197.685687,0
192,35,275635,6/21/21 9:16,IL,500/1000,496,1432.646952,0
195,36,274748,1/7/18 13:26,IL,500/1000,496,1386.097902,0
32,38,714895,9/13/99 8:33,IL,250/500,1998,565.5062554,5014801
187,37,126052,9/5/93 11:24,IN,500/1000,995,1408.656653,4998059
240,39,502880,3/16/07 9:24,IL,100/300,505,1392.493832,0
105,28,866597,3/8/20 2:21,OH,250/500,503,1075.266665,0
11,39,743093,5/2/95 9:52,OH,500/1000,2000,1225.209821,0
270,44,957807,6/7/07 14:33,IL,500/1000,1998,1367.062657,0
101,33,225776,10/28/22 15:07,IL,250/500,508,895.2754287,0
142,35,930687,2/21/10 8:31,IL,100/300,502,1451.977721,0
81,26,481775,2/18/09 4:39,IL,100/300,1011,1353.580613,0
105,33,499863,10/27/03 18:47,IL,100/300,1989,701.0418938,0
106,31,166320,12/11/12 3:30,IL,500/1000,2015,1322.59698,0
131,28,808759,5/6/00 3:08,OH,500/1000,998,1356.381753,0
32,38,719863,2/25/03 4:22,IL,250/500,1993,570.1212171,5020033
125,35,453587,11/7/02 11:46,OH,500/1000,500,1036.83211,7020374
289,50,570222,11/3/09 15:55,IL,100/300,1973,1254.844084,0
0,32,736292,2/13/18 2:59,OH,500/1000,989,1366.914234,0
282,42,532160,9/20/23 4:25,OH,100/300,501,1331.657907,-998526
333,47,976576,8/14/96 16:47,IL,100/300,2015,1087.845627,0
420,60,948131,5/20/15 6:56,IN,100/300,996,1170.859914,7129158
159,36,106603,1/2/06 21:15,IL,500/1000,998,894.357685,0
175,40,878885,6/23/06 8:35,IN,500/1000,503,1354.933866,5001511
285,46,498141,1/6/07 1:07,OH,100/300,2024,1544.161935,0
365,55,285300,6/29/13 14:49,IL,100/300,1999,978.8829655,0
173,36,805473,9/5/11 10:08,OH,250/500,1002,1267.841435,0
342,48,289142,7/4/08 23:37,OH,100/300,498,1735.172651,0
459,58,810837,5/25/05 23:31,IN,500/1000,1998,975.8442097,0
130,34,426073,5/23/24 1:05,IL,100/300,1999,1069.113444,0
31,32,230573,11/15/05 23:22,IL,100/300,2010,1250.371022,3987786
194,38,621026,1/31/05 5:52,IN,250/500,508,838.500579,0
50,44,526391,3/10/09 8:48,OH,250/500,2005,1181.935108,0
255,40,461872,1/5/03 17:59,IL,250/500,505,1386.792039,5008646
295,44,219516,11/2/20 15:43,OH,100/300,990,1291.353234,0
30,32,673906,11/26/15 16:10,OH,100/300,1022,1721.213201,0
123,29,599238,6/28/20 7:29,OH,500/1000,499,1311.553029,0
128,28,813031,7/4/24 21:55,OH,500/1000,1005,1371.592144,0
233,41,737630,5/21/10 20:58,IN,100/300,992,1483.799672,0
292,50,880034,8/22/20 18:54,IL,100/300,499,1178.300895,0
228,41,742803,11/2/13 16:47,IN,100/300,990,1452.5921,0
27,28,732196,5/1/13 8:36,IN,100/300,2012,1357.789347,0
224,39,606169,2/20/20 16:58,OH,250/500,500,1384.27182,0
212,35,689730,5/22/16 10:48,OH,100/300,2016,1217.276973,0
292,42,132943,12/1/97 18:28,OH,250/500,1994,1640.746843,5009963
126,35,442992,2/10/20 14:54,OH,500/1000,507,1053.454488,7008387
121,29,375913,1/27/11 18:40,IN,250/500,495,1208.516078,0
241,45,306479,4/28/96 6:26,IL,500/1000,1006,1170.928706,0
142,33,604634,4/22/20 11:42,IN,100/300,2004,1349.654533,5036078
91,26,100740,10/4/12 1:28,IL,250/500,986,1020.125698,0
129,28,818123,10/18/03 22:57,OH,500/1000,996,1381.902214,0
298,41,133845,5/15/01 14:18,OH,250/500,2022,1664.14582,4988966
80,26,486721,3/25/02 13:00,IL,100/300,1007,1336.631704,0
279,47,352224,8/31/09 8:40,OH,500/1000,999,1356.337991,0
283,47,958494,10/4/15 17:15,OH,500/1000,1020,1475.092263,0
80,27,143041,6/1/00 14:35,OH,500/1000,502,801.2547058,0
125,29,603828,2/18/10 20:00,OH,500/1000,503,1285.251548,0
229,41,732377,7/30/96 13:40,IN,100/300,1008,1443.066861,0
234,44,942933,2/12/01 13:20,OH,250/500,499,931.4174104,0
137,34,413961,5/3/02 15:03,IN,250/500,1011,1335.480129,0
92,32,440284,12/19/11 1:42,OH,250/500,2006,1633.2026,0
294,45,238859,11/9/06 1:10,IL,100/300,1016,1102.938532,0
165,33,769635,9/25/11 14:18,OH,100/300,1018,1426.175414,0
130,30,153405,11/24/97 4:55,IL,500/1000,1982,922.0138888,0
230,38,343283,2/28/06 14:56,IL,250/500,2000,1237.421904,0
436,61,908139,11/11/06 13:41,IN,250/500,502,1367.83916,0
155,32,442718,2/21/24 0:07,IL,250/500,501,1503.793119,0
127,29,745151,9/16/14 10:16,OH,500/1000,992,1888.271021,0
29,32,668610,2/4/02 8:52,OH,100/300,996,1713.31017,0
203,40,539490,2/6/07 13:37,IL,100/300,491,1277.865744,0
131,33,432388,2/17/07 21:57,IL,100/300,1977,1081.328035,0
132,34,468528,6/6/13 22:08,IN,500/1000,507,1079.481411,0
183,35,622565,8/15/19 14:00,IN,500/1000,2036,1427.0547,0
261,44,576033,4/17/09 4:36,IL,250/500,501,1631.518025,0
263,44,985964,4/2/18 0:51,IL,100/300,512,1056.685644,6054221
254,40,465487,6/19/06 13:48,IL,250/500,499,1397.504783,4975033
178,34,112308,2/13/01 19:36,IN,500/1000,1971,994.2830669,0
292,46,590712,4/2/16 0:25,OH,500/1000,1974,1098.895737,0
257,44,837430,12/21/95 15:56,OH,250/500,1986,1635.10913,0
223,41,676564,8/1/08 17:20,OH,500/1000,501,1226.516159,0
140,30,943710,4/17/19 19:19,IN,250/500,1971,1625.404541,0
31,31,232183,12/21/98 7:43,IL,100/300,1987,1283.273605,4043586
109,32,296656,3/4/95 3:39,OH,100/300,503,1165.639444,4020247
